Code,Area
BX98,Rikers Island
SI99,park-cemetery-etc-Staten Island
QN99,park-cemetery-etc-Queens
QN98,Airport
MN50,Stuyvesant Town-Cooper Village
BK09,Brooklyn Heights-Cobble Hill
QN41,Fresh Meadows-Utopia
BX99,park-cemetery-etc-Bronx
BK99,park-cemetery-etc-Brooklyn
QN45,Douglas Manor-Douglaston-Little Neck
QN47,Ft. Totten-Bay Terrace-Clearview
QN62,Queensboro Hill
QN44,Glen Oaks-Floral Park-New Hyde Park
BK46,Ocean Parkway South
QN48,Auburndale
BX22,North Riverdale-Fieldston-Riverdale
QN42,Oakland Gardens
QN43,Bellerose
SI32,Rossville-Woodrow
SI11,Charleston-Richmond Valley-Tottenville
SI25,Oakwood-Oakwood Beach
QN60,Kew Gardens
BK23,West Brighton
QN18,Rego Park
BX10,Pelham Bay-Country Club-City Island
SI48,Arden Heights
SI07,Westerleigh
MN40,Upper East Side-Carnegie Hill
SI01,Annadale-Huguenot-Prince's Bay-Eltingville
BK40,Windsor Terrace
MN25,Battery Park City-Lower Manhattan
SI35,New Brighton-Silver Lake
SI54,Great Kills
QN21,Middle Village
QN49,Whitestone
QN30,Maspeth
QN50,Elmhurst-Maspeth
MN19,Turtle Bay-East Midtown
MN21,Gramercy
SI36,Old Town-Dongan Hills-South Beach
QN63,Woodside
MN99,park-cemetery-etc-Manhattan
QN37,Kew Gardens Hills
BX29,Spuyten Duyvil-Kingsbridge
BK25,Homecrest
QN46,Bayside-Bayside Hills
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
QN56,Ozone Park
BK19,Brighton Beach
BK72,Williamsburg
QN06,Jamaica Estates-Holliswood
BK27,Bath Beach
QN52,East Flushing
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin
QN57,Lindenwood-Howard Beach
SI14,Grasmere-Arrochar-Ft. Wadsworth
SI05,New Springville-Bloomfield-Travis
BK44,Madison
SI45,New Dorp-Midland Beach
BK30,Dyker Heights
QN23,College Point
MN31,Lenox Hill-Roosevelt Island
QN17,Forest Hills
QN19,Glendale
QN51,Murray Hill
QN72,Steinway
MN17,Midtown-Midtown South
MN24,SoHo-TriBeCa-Civic Center-Little Italy
BK41,Kensington-Ocean Parkway
QN33,Cambria Heights
QN38,Pomonok-Flushing Heights-Hillcrest
BK43,Midwood
QN35,Briarwood-Jamaica Hills
BX49,Pelham Parkway
BK76,Greenpoint
BK88,Borough Park
QN03,Springfield Gardens South-Brookville
BK93,Starrett City
MN23,West Village
QN05,Rosedale
MN14,Lincoln Square
SI28,Port Richmond
MN32,Yorkville
QN31,Hunters Point-Sunnyside-West Maspeth
BK29,Bensonhurst East
BX31,Allerton-Pelham Gardens
BX37,Van Nest-Morris Park-Westchester Square
BK28,Bensonhurst West
QN07,Hollis
BK31,Bay Ridge
BK26,Gravesend
BX59,Westchester-Unionport
QN27,East Elmhurst
QN29,Elmhurst
MN15,Clinton
